HUC12,HUC12_Name,Study_Area
10900030207,Abbott Run,Narragansett Bay Watershed
10900040911,Aquidneck Island-Frontal Atlantic Ocean,Narragansett Bay Watershed
10900050301,Ashaway River,Little Narragansett Bay Watershed
10900040202,Assawompsett Pond,Narragansett Bay Watershed
10900040802,Assonet River,Narragansett Bay Watershed
10900040605,Barden Reservoir-Ponaganset River,Narragansett Bay Watershed
10900040702,Barrington River-Warren River,Narragansett Bay Watershed
10900050203,Beaver River,Little Narragansett Bay Watershed
10900040601,Big River,Narragansett Bay Watershed
10900030204,Branch River,Narragansett Bay Watershed
10900030203,Chepachet River,Narragansett Bay Watershed
10900050201,Chipuxet River-Pawcatuck River,Little Narragansett Bay Watershed
10900030202,Clear River,Narragansett Bay Watershed
10900040204,Cotley River-Taunton River,Narragansett Bay Watershed
10900030206,Emerson Brook-Blackstone River,Narragansett Bay Watershed
10900040903,Greenwich Bay,Narragansett Bay Watershed
10900040602,Headwaters South Branch Pawtuxet River,Narragansett Bay Watershed
10900040904,Hunt River,Narragansett Bay Watershed
10900030101,Kettle Brook,Narragansett Bay Watershed
10900040909,Lower East Passage,Narragansett Bay Watershed
10900050303,Lower Pawcatuck River,Little Narragansett Bay Watershed
10900040908,Lower West Passage,Narragansett Bay Watershed
10900050102,Lower Wood River,Little Narragansett Bay Watershed
10900040102,Matfield River,Narragansett Bay Watershed
10900030205,Mill River,Narragansett Bay Watershed
10900040801,Mill River,Narragansett Bay Watershed
10900040501,Moshassuck River,Narragansett Bay Watershed
10900040604,Moswansicut Pond-Huntinghouse Brook,Narragansett Bay Watershed
10900040905,Mount Hope Bay,Narragansett Bay Watershed
10900030104,Mumford River,Narragansett Bay Watershed
10900040203,Nemasket River,Narragansett Bay Watershed
10900050403,Ninigret Pond-Frontal Block Island Sound,Southwest Coastal Ponds Watershed
10900040607,North Branch Pawtuxet River,Narragansett Bay Watershed
10900040701,Palmer River,Narragansett Bay Watershed
11000030303,Part of Coastal drainages-Pawcatuck Point to Eastern Point,Little Narragansett Bay Watershed
10900040609,Pawtuxet River,Narragansett Bay Watershed
10900030208,Peters River-Blackstone River,Narragansett Bay Watershed
10900040912,Pettaquamscutt River-Frontal Atlantic Ocean,Narragansett Bay Watershed
10900040608,Pocassett River,Narragansett Bay Watershed
10900050402,Point Judith Pond-Frontal Block Island Sound,Southwest Coastal Ponds Watershed
10900040803,Quequechan River,Narragansett Bay Watershed
10900030103,Quinsigamond River,Narragansett Bay Watershed
10900040910,Sakonnet River,Narragansett Bay Watershed
10900040101,Satucket River,Narragansett Bay Watershed
10900050401,Saugatucket River,Southwest Coastal Ponds Watershed
10900040606,Scituate Reservoir,Narragansett Bay Watershed
10900040901,Seekonk River-Providence River,Narragansett Bay Watershed
10900050302,Shunock River,Little Narragansett Bay Watershed
10900030105,Singletary Brook-Blackstone River,Narragansett Bay Watershed
10900040603,South Branch Pawtuxet River,Narragansett Bay Watershed
10900030102,Tatnuck Brook-Blackstone River,Narragansett Bay Watershed
10900040804,Taunton River-Frontal Mount Hope Bay,Narragansett Bay Watershed
10900040401,Ten Mile River,Narragansett Bay Watershed
10900040302,Threemile River,Narragansett Bay Watershed
10900050205,Tomaquag Brook-Pawcatuck River,Little Narragansett Bay Watershed
10900040103,Town River,Narragansett Bay Watershed
10900040907,Upper East Passage,Narragansett Bay Watershed
10900040902,Upper Narragansett Bay,Narragansett Bay Watershed
10900040906,Upper West Passage,Narragansett Bay Watershed
10900050101,Upper Wood River,Little Narragansett Bay Watershed
10900050202,Usquepaug River,Little Narragansett Bay Watershed
10900050204,Usquepaug River-Pawcatuck River,Little Narragansett Bay Watershed
10900040301,Wading River,Narragansett Bay Watershed
10900030201,West River,Narragansett Bay Watershed
10900040201,Winnetuxet River-Taunton River,Narragansett Bay Watershed
10900040502,Woonasquatucket River,Narragansett Bay Watershed
